,,,nominal gross output,nominal intermediate input,nominal IT equipment capital,nominal software capital,nominal R&D capital,nominal entertainment originals capital,nominal other capital,nominal college labor input,nominal non-college labor input,gross output quantity index,intermediate input quantity index,quantity index IT equipment capital,quantity index software capital,quantity index R&D capital,quantity index entertainment originals capital,quantity index other capital,quantity index college labor input,quantity index non-college labor input,total hours
yr,indnum,Description,go.,ii.,vkit.,vksoft.,vkRD.,vkart.,vkoth.,vlcol.,vln.,goqi.,iiqi.,qkit.,qks.,qkrd.,qka.,qko.,qlindexcol_merge.,qlindexn_merge.,hrs
1958,3,Oil and gas extraction,8525,3003,0.95828999999999998,0.95828999999999998,1.08582,0.95828999999999998,3614.2617190000001,471.11129799999998,1432.66626,0.70904999999999996,0.52554000000000001,2.2200000000000002E-3,1,6.6899999999999998E-3,1,0.48011999999999999,0.41492800000000002,0.99467300000000003,336.82165500000002
1959,3,Oil and gas extraction,8770,3252,0.94013100000000005,0.94013100000000005,1.0155320000000001,0.94013100000000005,3539.7182619999999,498.419037,1476.0267329999999,0.73272999999999999,0.56654000000000004,2.2200000000000002E-3,1,6.2300000000000003E-3,1,0.49891999999999997,0.41299400000000003,1.0031810000000001,330.92031900000001
1960,3,Oil and gas extraction,8850,3387,0.88626700000000003,2.1949E-2,0.88236800000000004,0.88626700000000003,3316.3610840000001,533.315247,1610.647095,0.73534999999999995,0.58567999999999998,2.2200000000000002E-3,1.2999999999999999E-4,5.77E-3,1,0.51722999999999997,0.40259299999999998,0.93980699999999995,315.687073
1961,3,Oil and gas extraction,9108,3480,0.97516499999999995,0.33760000000000001,0.94478600000000001,0.97516499999999995,3780.3791500000002,449.53027300000002,1394.8572999999999,0.75407999999999997,0.60216999999999998,2.2200000000000002E-3,4.8000000000000001E-4,5.4900000000000001E-3,1,0.53481000000000001,0.394839,0.93342999999999998,302.032715
1962,3,Oil and gas extraction,9411,3666,0.98732799999999998,0.89033700000000005,0.91820299999999999,0.98732799999999998,3911.0041500000002,439.78161599999999,1390.430664,0.77000999999999997,0.63441000000000003,2.2200000000000002E-3,1.0300000000000001E-3,5.3099999999999996E-3,1,0.55225000000000002,0.38674399999999998,0.93545699999999998,295.25302099999999
1963,3,Oil and gas extraction,9628,3889,0.89571199999999995,1.3957170000000001,0.77741400000000005,0.89571199999999995,3564.806885,516.90222200000005,1653.3260499999999,0.79264999999999997,0.6865,2.2200000000000002E-3,1.72E-3,5.0499999999999998E-3,1,0.56901000000000002,0.37409100000000001,0.91598199999999996,285.27236900000003
1947,4,"Mining, except oil and gas",5565,2270,1.971984,1.971984,0.33108199999999999,1.971984,1402.8394780000001,98.068123,1793.7613530000001,0.62790999999999997,0.60767000000000004,2.3000000000000001E-4,1,4.28E-3,1,0.42942999999999998,0.419211,2.8162579999999999,1091.4964600000001
1948,4,"Mining, except oil and gas",6137,2275,1.860033,1.860033,0.35324800000000001,1.860033,1704.075317,114.488152,2037.5032960000001,0.53634999999999999,0.53007000000000004,2.3000000000000001E-4,1,4.7699999999999999E-3,1,0.44045000000000001,0.44281300000000001,2.738734,1113.27063
1949,4,"Mining, except oil and gas",5672,2732,2.0080279999999999,2.0080279999999999,0.377716,2.0080279999999999,1140.458374,101.603622,1691.5361330000001,0.49619000000000002,0.63012999999999997,2.3000000000000001E-4,1,5.2199999999999998E-3,1,0.45049,0.40060699999999999,2.266813,951.19744900000001
1950,4,"Mining, except oil and gas",6503,2918,1.954725,1.954725,0.36403200000000002,1.954725,1568.5593260000001,125.035004,1885.17749,0.55471999999999999,0.65414000000000005,2.3000000000000001E-4,1,5.64E-3,1,0.45845999999999998,0.487958,2.3703699999999999,991.89093000000003
