Quantity Index Labor Hours (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Transit and ground passenger transportation,66.462999999999994,66.301000000000002,68.010999999999996,64.171000000000006,64.858999999999995,65.867000000000004,66.251999999999995,65.688999999999993,66.653000000000006,70.695999999999998,72.236000000000004,72.552000000000007,71.869,76.379000000000005,80.97,78.251000000000005,77.103999999999999,79.614000000000004,86.594999999999999,93.653999999999996,100,101.431,103.455,71.113,71.896000000000001,89.251999999999995,96.528000000000006,104.75
Pipeline transportation,95.710999999999999,94.319000000000003,91.816000000000003,86.977999999999994,84.313000000000002,83.355000000000004,86.132999999999996,80.891000000000005,78.680000000000007,80.349999999999994,84.494,86.656000000000006,90.106999999999999,87.736999999999995,90.046999999999997,88.137,92.677000000000007,98.44,108.64700000000001,101.944,100,97.695999999999998,101.851,100.608,99.858999999999995,104.85599999999999,109.04900000000001,114.98399999999999
Other transportation and support activities,81.751000000000005,83.852000000000004,85.227999999999994,84.265000000000001,83.912000000000006,78.899000000000001,76.795000000000002,79.421999999999997,80.763000000000005,81.507999999999996,84.2,84.98,78.27,76.819000000000003,79.507999999999996,81.781999999999996,87.617999999999995,90.254000000000005,95.177000000000007,96.025000000000006,100,101.855,107.538,120.453,129.39099999999999,134.672,134.077,137.595
Warehousing and storage,43.201000000000001,45.578000000000003,47.52,49.051000000000002,48.183,49.63,50.941000000000003,52.811,54.923000000000002,59.976999999999997,63.094999999999999,64.167000000000002,60.073999999999998,61.128999999999998,63.777999999999999,66.355000000000004,68.977000000000004,71.308999999999997,77.998999999999995,91.153999999999996,100,106.18899999999999,106.45699999999999,124.226,150.67699999999999,166.67699999999999,163.18,163.202
"Publishing industries, except internet (includes software)",132.62299999999999,136.38499999999999,146.63200000000001,150.26300000000001,145.75399999999999,136.45099999999999,126.61799999999999,125.381,125.586,121.619,120.81100000000001,117.96299999999999,106.277,100.59099999999999,101.42,101.29300000000001,98.22,98.36,101.045,100.238,100,102.47499999999999,105.613,108.786,111.44199999999999,123.41200000000001,123.84699999999999,122.33499999999999
Motion picture and sound recording industries,81.623999999999995,85.498999999999995,89.971000000000004,90.641999999999996,88.72,90.356999999999999,90.159000000000006,89.171999999999997,86.022000000000006,84.840999999999994,84.335999999999999,81.183000000000007,79.911000000000001,81.578000000000003,79.965999999999994,80.453999999999994,83.875,87.811000000000007,90.147999999999996,93.66,100,106.943,109.709,73.53,97.713999999999999,104.387,89.366,82.594999999999999
Broadcasting and telecommunications,144.14500000000001,153.52199999999999,164.79499999999999,178.08500000000001,174.96299999999999,155.643,147.483,142.90700000000001,139.21600000000001,138.143,135.24100000000001,132.857,126.795,119.82599999999999,115.098,111.182,109.182,107.887,104.749,101.646,100,96.662000000000006,92.97,89.042000000000002,88.870999999999995,87.006,84.53,83.316000000000003
"Data processing, internet publishing, and other information services",58.552999999999997,64.23,74.156000000000006,81.563999999999993,79.361000000000004,71.915999999999997,65.548000000000002,64.811000000000007,62.978000000000002,62.793999999999997,64.478999999999999,66.650999999999996,63.84,64.096999999999994,67.728999999999999,73.063999999999993,77.995999999999995,83.519000000000005,91.896000000000001,97.025000000000006,100,109.354,118.84,124.285,131.965,143.88800000000001,145.05699999999999,146.55699999999999
"Federal Reserve banks, credit intermediation, and related activities",91.72,95.986000000000004,97.701999999999998,93.632999999999996,97.207999999999998,98.986000000000004,102.66500000000001,104.5,109.02800000000001,109.32299999999999,107.619,101.624,95.863,95.319000000000003,96.74,97.962999999999994,98.224000000000004,96.95,98.646000000000001,99.521000000000001,100,100.758,100.376,101.384,101.73399999999999,100.107,97.131,95.021000000000001
"Securities, commodity contracts, and investments",79.763999999999996,87.072000000000003,95.834000000000003,105.05,103.664,95.897999999999996,93.215000000000003,92.197999999999993,94.721999999999994,98.186999999999998,103.35299999999999,103.91800000000001,95.228999999999999,93.944999999999993,95.397000000000006,95.405000000000001,93.73,95.167000000000002,98.686000000000007,99.501999999999995,100,102.745,102.28,102.267,105.355,108.88200000000001,112.29600000000001,114.557
Insurance carriers and related activities,85.132000000000005,87.88,88.649000000000001,87.281999999999996,88.521000000000001,88.072999999999993,88.462000000000003,88.054000000000002,87.65,89.087999999999994,88.7,89.037000000000006,88.081000000000003,86.903000000000006,87.061000000000007,89.664000000000001,89.709000000000003,92.262,96.525000000000006,98.233000000000004,100,99.551000000000002,102.801,104.122,103.544,105.181,107.788,108.562
"Funds, trusts, and other financial vehicles",24.652000000000001,28.311,31.457000000000001,33.545000000000002,32.481999999999999,33.517000000000003,29.978999999999999,27.367999999999999,27.22,27.361000000000001,30.077999999999999,30.997,29.908000000000001,28.777999999999999,28.646000000000001,27.646999999999998,29.79,46.723999999999997,57.347999999999999,82.802999999999997,100,115.482,132.75700000000001,148.56800000000001,177.00899999999999,217.63800000000001,237.02,248.93600000000001
