Production Account Quantity Index Value Added (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Publishing industries, except internet (includes software)",32.887,37.072000000000003,47.031999999999996,38.256,37.130000000000003,43.811999999999998,47.808,54.710999999999999,59.148000000000003,55.188000000000002,66.061999999999998,65.125,61.598999999999997,67.031999999999996,70.278000000000006,73.747,77.599000000000004,82.016000000000005,85.509,91.494,100,107.202,121.459,132.577,158.059,169.21299999999999,186.99,196.01400000000001
Motion picture and sound recording industries,34.561999999999998,42.343000000000004,51.640999999999998,45.491999999999997,54.055,59.908999999999999,57.271999999999998,62.124000000000002,54.53,61.795000000000002,71.593999999999994,75.867000000000004,83.921000000000006,92.98,87.287999999999997,83.046999999999997,85.759,86.391000000000005,93.941000000000003,98.320999999999998,100,95.02,91.536000000000001,80.361999999999995,99.304000000000002,118.474,118.443,119.491
Broadcasting and telecommunications,30.398,32.904000000000003,35.526000000000003,39.470999999999997,40.646000000000001,40.834000000000003,42.384,47.212000000000003,54.223999999999997,57.347999999999999,64.975999999999999,70.13,66.427000000000007,68.366,67.501999999999995,68.742999999999995,76.265000000000001,75.650000000000006,86.834999999999994,94.826999999999998,100,104.536,111.95099999999999,109.116,114.196,112.595,115.19499999999999,115.28400000000001
"Data processing, internet publishing, and other information services",14.564,16.637,13.618,11.69,18.841999999999999,28.074999999999999,29.062000000000001,34.643999999999998,33.44,37.664000000000001,31.875,39.935000000000002,40.969000000000001,48.273000000000003,55.356999999999999,52.174999999999997,65.521000000000001,72.650000000000006,80.974999999999994,91.652000000000001,100,110.97499999999999,134.78800000000001,156.65199999999999,187.53899999999999,218.25200000000001,251.608,284.30599999999998
"Federal Reserve banks, credit intermediation, and related activities",60.843000000000004,70.353999999999999,83.63,84.04,83.100999999999999,92.584999999999994,89.430999999999997,83.114000000000004,89.811999999999998,87.9,81.146000000000001,86.694999999999993,106.663,98.055000000000007,108.40300000000001,117.002,108.306,111.619,110.148,105.205,100,95.99,100.41800000000001,107.294,114.197,105.985,102.577,103.322
"Securities, commodity contracts, and investments",68.447000000000003,69.516999999999996,74.430999999999997,93.674000000000007,136.589,116.404,103.958,104.724,121.441,136.41800000000001,113.806,57.253,126.001,116.342,91.808000000000007,116.592,108.839,87.584999999999994,86.525999999999996,96.867999999999995,100,96.522999999999996,90.759,95.647000000000006,96.444000000000003,106.657,108.877,109.325
Insurance carriers and related activities,49.51,53.682000000000002,52.988999999999997,61.7,57.548999999999999,53.476999999999997,57.387,64.197000000000003,68.253,72.494,79.143000000000001,68.459999999999994,70.046999999999997,70.265000000000001,71.081000000000003,74.012,69.823999999999998,87.793000000000006,99.863,102.645,100,101.036,108.181,103.131,106.56699999999999,116.268,115.52,114.571
"Funds, trusts, and other financial vehicles",95.733999999999995,141.55799999999999,160.55099999999999,112.196,113.384,102.28400000000001,100.60299999999999,109.881,129.203,131.905,94.430999999999997,46.612000000000002,11.863,35.634,64.992000000000004,135.72,184.7,371.755,194.81899999999999,66.224000000000004,100,18.338999999999999,23.280999999999999,10.585000000000001,75.239999999999995,24.821999999999999,22.722999999999999,21.888999999999999
Real estate,62.298000000000002,62.255000000000003,64.935000000000002,66.95,69.959000000000003,71.349000000000004,73.457999999999998,76.028999999999996,80.536000000000001,80.486000000000004,86.563000000000002,89.715999999999994,88.311999999999998,92.605000000000004,94.78,95.92,98.585999999999999,98.873999999999995,97.936999999999998,98.259,100,103.672,104.819,105.994,112.199,118.82599999999999,121.488,123.816
Rental and leasing services and lessors of intangible assets,63.311999999999998,70.816000000000003,77.691999999999993,78.334000000000003,86.671000000000006,84.251000000000005,80.025000000000006,75.414000000000001,75.703999999999994,86.933999999999997,82.578999999999994,87.311000000000007,77.272000000000006,75.736000000000004,76.201999999999998,80.274000000000001,82.879000000000005,84.56,91.763999999999996,98.213999999999999,100,105.845,112.248,113.80800000000001,122.949,128.61099999999999,139.33000000000001,143.077
