Integrated Total Factor Productivity* (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Federal Reserve banks, credit intermediation, and related activities",109.21899999999999,112.66200000000001,119.551,116.608,112.28,116.34,110.74,104.077,105.09699999999999,101.75700000000001,95.870999999999995,100.14100000000001,114.876,109.78,115.952,120.756,113.41500000000001,114.461,110.97799999999999,105.22199999999999,100,95.646000000000001,96.799000000000007,99.225999999999999,102.72499999999999,97.256,95.632000000000005,95.965999999999994
"Securities, commodity contracts, and investments",104.393,99.819000000000003,98.504999999999995,103.22199999999999,124.018,115.101,109.485,109.515,115.66,120.411,107.861,86.677000000000007,114.55200000000001,110.789,99.647999999999996,110.39,107.45399999999999,96.489000000000004,94.334000000000003,98.668999999999997,100,96.694000000000003,93.959000000000003,95.85,95.31,98.391000000000005,97.744,96.811000000000007
Insurance carriers and related activities,90.631,92.512,89.135999999999996,95.388000000000005,89.611000000000004,84.216999999999999,85.745999999999995,90.197999999999993,92.754000000000005,94.814999999999998,99.349000000000004,91.361999999999995,91.953000000000003,92.12,92.433999999999997,92.899000000000001,89.561999999999998,98.623000000000005,103.405,103.111,100,99.593999999999994,101.40600000000001,96.594999999999999,96.953000000000003,99.650999999999996,97.887,96.441000000000003
"Funds, trusts, and other financial vehicles",110.702,116.80800000000001,118.815,110.068,109.795,106.438,105.34099999999999,106.202,108.91,108.745,102.898,97.662999999999997,92.897000000000006,96.013000000000005,97.25,101.09399999999999,105.29300000000001,108.026,103.136,97.521000000000001,100,95.825999999999993,96.040999999999997,95.462000000000003,107.985,94.733999999999995,93.186000000000007,91.948999999999998
Real estate,93.311000000000007,91.451999999999998,92.064999999999998,92.256,93.494,92.828999999999994,92.438000000000002,92.518000000000001,93.894999999999996,91.77,94.888000000000005,96.507999999999996,95.147000000000006,98.66,100.33,100.935,102.428,102.105,100.565,99.915999999999997,100,101.378,101.428,101.251,104.039,106.908,107.84099999999999,108.846
Rental and leasing services and lessors of intangible assets,140.834,137.732,132.48099999999999,121.05800000000001,122.759,118.114,113.887,108.379,105.02500000000001,109.54,103.039,105.01900000000001,99.727999999999994,99.885999999999996,99.77,100.506,99.462999999999994,98.194000000000003,99.587999999999994,101.036,100,101.54,102.628,104.678,111.331,114.57299999999999,120.254,122.494
Legal services,125.506,123.26,128.625,128.57400000000001,127.148,124.42,119.18899999999999,119.572,115.72199999999999,115.023,117.52200000000001,121.14,108.624,102.661,101.252,100.24299999999999,97.840999999999994,97.028999999999996,99.304000000000002,100.623,100,99.480999999999995,101.40600000000001,97.405000000000001,103.09699999999999,105.67400000000001,103.142,103.40300000000001
Computer systems design and related services,55.923000000000002,55.255000000000003,55.131999999999998,55.009,55.295999999999999,56.716999999999999,60.704000000000001,64.274000000000001,66.662000000000006,68.403000000000006,70.728999999999999,71.195999999999998,73.873999999999995,78.760999999999996,82.031000000000006,87.816000000000003,87.6,89.667000000000002,92.43,95.233999999999995,100,108.271,110.801,116.042,125.449,128.72300000000001,133.59299999999999,141.303
"Miscellaneous professional, scientific, and technical services",103.6,99.341999999999999,99.561999999999998,99.067999999999998,98.918000000000006,101.751,99.555999999999997,98.472999999999999,97.617999999999995,96.718999999999994,95.462999999999994,99.253,96.763000000000005,98.683000000000007,98.158000000000001,99.173000000000002,98.225999999999999,99.775999999999996,99.929000000000002,98.947000000000003,100,101.438,102.828,103.499,108.73,110.014,111.971,111.605
Management of companies and enterprises,106.133,101.983,100.798,101.41200000000001,106.404,108.764,110.861,103.789,103.27,100.60899999999999,97.364000000000004,95.524000000000001,89.724000000000004,91.85,90.960999999999999,94.263999999999996,94.253,96.834999999999994,96.444999999999993,95.816999999999993,100,102.023,105.05500000000001,106.67700000000001,111.28,115.376,116.13800000000001,118.205
